Namespace(config='config/qrdqn.yaml', cuda=True, env_id='JamesbondNoFrameskip-v4', model='ncQRDQN', seed=0)
Mean_return:1.63 Frame:20.00 M  Time_used 18H-17M Time_togo 164H-40M
Mean_return:1.56 Frame:20.11 M  Time_used 18H-22M Time_togo 164H-25M
Mean_return:1.39 Frame:20.22 M  Time_used 18H-28M Time_togo 164H-12M
Mean_return:1.78 Frame:20.33 M  Time_used 18H-33M Time_togo 163H-57M
Mean_return:1.49 Frame:20.44 M  Time_used 18H-38M Time_togo 163H-47M
Mean_return:1.31 Frame:20.55 M  Time_used 18H-44M Time_togo 163H-37M
Mean_return:1.36 Frame:20.64 M  Time_used 18H-48M Time_togo 163H-27M
Mean_return:1.53 Frame:20.74 M  Time_used 18H-53M Time_togo 163H-14M
Mean_return:1.49 Frame:20.84 M  Time_used 18H-58M Time_togo 163H-4M
Mean_return:1.48 Frame:20.95 M  Time_used 19H-3M Time_togo 162H-53M
------------------------------------------------------------
Num steps: 5250000  return: 518.8
------------------------------------------------------------
Mean_return:1.78 Frame:21.06 M  Time_used 19H-16M Time_togo 163H-48M
Mean_return:1.89 Frame:21.17 M  Time_used 19H-21M Time_togo 163H-35M
Mean_return:1.78 Frame:21.28 M  Time_used 19H-27M Time_togo 163H-24M
Mean_return:1.78 Frame:21.39 M  Time_used 19H-32M Time_togo 163H-10M
Mean_return:1.9 Frame:21.50 M  Time_used 19H-37M Time_togo 162H-57M
Mean_return:1.98 Frame:21.61 M  Time_used 19H-42M Time_togo 162H-44M
Mean_return:1.86 Frame:21.71 M  Time_used 19H-47M Time_togo 162H-32M
Mean_return:1.77 Frame:21.82 M  Time_used 19H-52M Time_togo 162H-21M
Mean_return:1.65 Frame:21.92 M  Time_used 19H-57M Time_togo 162H-8M
------------------------------------------------------------
Num steps: 5500000  return: 560.0
------------------------------------------------------------
Mean_return:1.46 Frame:22.03 M  Time_used 20H-10M Time_togo 162H-59M
Mean_return:1.58 Frame:22.14 M  Time_used 20H-15M Time_togo 162H-45M
Mean_return:1.5 Frame:22.25 M  Time_used 20H-20M Time_togo 162H-31M
Mean_return:1.72 Frame:22.36 M  Time_used 20H-25M Time_togo 162H-18M
Mean_return:1.81 Frame:22.46 M  Time_used 20H-30M Time_togo 162H-5M
Mean_return:1.55 Frame:22.56 M  Time_used 20H-34M Time_togo 161H-54M
Mean_return:1.84 Frame:22.67 M  Time_used 20H-40M Time_togo 161H-41M
Mean_return:1.73 Frame:22.79 M  Time_used 20H-45M Time_togo 161H-30M
Mean_return:1.87 Frame:22.90 M  Time_used 20H-51M Time_togo 161H-19M
------------------------------------------------------------
Num steps: 5750000  return: 503.4
------------------------------------------------------------
Mean_return:1.88 Frame:23.01 M  Time_used 21H-4M Time_togo 162H-8M
Mean_return:1.58 Frame:23.12 M  Time_used 21H-9M Time_togo 161H-54M
Mean_return:2.0 Frame:23.23 M  Time_used 21H-14M Time_togo 161H-40M
Mean_return:1.8 Frame:23.34 M  Time_used 21H-19M Time_togo 161H-26M
Mean_return:1.68 Frame:23.44 M  Time_used 21H-24M Time_togo 161H-14M
Mean_return:1.98 Frame:23.55 M  Time_used 21H-29M Time_togo 161H-1M
Mean_return:2.18 Frame:23.66 M  Time_used 21H-34M Time_togo 160H-48M
Mean_return:2.02 Frame:23.78 M  Time_used 21H-40M Time_togo 160H-35M
Mean_return:2.05 Frame:23.88 M  Time_used 21H-45M Time_togo 160H-24M
Mean_return:2.06 Frame:23.99 M  Time_used 21H-50M Time_togo 160H-11M
------------------------------------------------------------
Num steps: 6000000  return: 311.1
------------------------------------------------------------
Mean_return:2.01 Frame:24.11 M  Time_used 22H-3M Time_togo 160H-55M
Mean_return:1.69 Frame:24.21 M  Time_used 22H-7M Time_togo 160H-43M
Mean_return:2.04 Frame:24.32 M  Time_used 22H-13M Time_togo 160H-31M
Mean_return:1.9 Frame:24.42 M  Time_used 22H-18M Time_togo 160H-20M
Mean_return:1.67 Frame:24.53 M  Time_used 22H-23M Time_togo 160H-8M
Mean_return:1.99 Frame:24.65 M  Time_used 22H-28M Time_togo 159H-54M
Mean_return:1.91 Frame:24.76 M  Time_used 22H-33M Time_togo 159H-42M
Mean_return:2.29 Frame:24.87 M  Time_used 22H-38M Time_togo 159H-28M
Mean_return:2.22 Frame:24.98 M  Time_used 22H-44M Time_togo 159H-16M
------------------------------------------------------------
Num steps: 6250000  return: 642.5
------------------------------------------------------------
Mean_return:2.19 Frame:25.09 M  Time_used 22H-56M Time_togo 159H-57M
Mean_return:2.22 Frame:25.20 M  Time_used 23H-1M Time_togo 159H-43M
Mean_return:1.76 Frame:25.30 M  Time_used 23H-6M Time_togo 159H-31M
Mean_return:1.9 Frame:25.41 M  Time_used 23H-11M Time_togo 159H-19M
Mean_return:2.07 Frame:25.51 M  Time_used 23H-15M Time_togo 159H-7M
Mean_return:1.93 Frame:25.61 M  Time_used 23H-20M Time_togo 158H-57M
Mean_return:2.32 Frame:25.72 M  Time_used 23H-25M Time_togo 158H-44M
Mean_return:2.49 Frame:25.83 M  Time_used 23H-30M Time_togo 158H-31M
Mean_return:2.19 Frame:25.94 M  Time_used 23H-35M Time_togo 158H-19M
------------------------------------------------------------
Num steps: 6500000  return: 619.2
------------------------------------------------------------
Mean_return:2.13 Frame:26.04 M  Time_used 23H-47M Time_togo 158H-57M
